iter	Passed	Remaining
0	1	107
1	1	67
2	1	54
3	1	44
4	2	51
5	3	48
6	3	44
7	3	41
8	3	40
9	4	38
10	4	37
11	4	36
12	5	34
13	5	33
14	5	32
15	6	31
16	6	31
17	6	30
18	6	29
19	7	29
20	7	28
21	7	28
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	24
30	10	23
31	10	23
32	11	22
33	11	22
34	11	22
35	12	21
36	12	21
37	12	21
38	13	20
39	13	20
40	13	20
41	14	19
42	14	19
43	14	18
44	15	18
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	16
54	19	15
55	19	15
56	19	14
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	10
69	24	10
70	25	10
71	25	9
72	25	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	32	3
89	32	3
90	32	3
91	33	2
92	33	2
93	34	2
94	34	1
95	34	1
96	35	1
97	35	0
98	36	0
99	36	0
