iter	Passed	Remaining
0	57	57691
1	58	29078
2	58	19483
3	59	14709
4	59	11845
5	59	9936
6	60	8571
7	60	7547
8	61	6758
9	61	6110
10	62	5590
11	62	5155
12	63	4785
13	63	4465
14	63	4190
15	65	4004
16	65	3802
17	66	3614
18	66	3442
19	67	3287
20	67	3141
21	67	3012
22	68	2897
23	68	2789
24	68	2689
25	69	2599
26	69	2512
27	70	2435
28	70	2369
29	71	2305
30	71	2246
31	72	2187
32	72	2133
33	73	2077
34	73	2026
35	73	1981
36	74	1936
37	74	1894
38	75	1854
39	75	1813
40	76	1779
41	76	1744
42	76	1711
43	77	1678
44	77	1649
45	78	1619
46	78	1591
47	79	1566
48	79	1541
49	79	1515
50	80	1494
51	80	1470
52	81	1450
53	81	1430
54	81	1408
55	82	1389
56	82	1371
57	83	1355
58	83	1337
59	84	1322
60	84	1305
61	85	1289
62	85	1272
63	86	1258
64	86	1242
65	86	1229
66	87	1214
67	87	1200
68	88	1188
69	89	1183
70	89	1169
71	89	1157
72	90	1144
73	91	1141
74	91	1129
75	92	1119
76	92	1109
77	93	1099
78	93	1088
79	93	1080
80	94	1071
81	94	1062
82	95	1049
83	95	1040
84	95	1030
85	96	1022
86	96	1015
87	97	1008
88	97	1002
89	98	992
90	98	985
91	99	978
92	99	971
93	100	964
94	100	957
95	100	949
96	101	943
97	101	938
98	102	931
99	102	924
100	103	917
101	103	910
102	103	905
103	104	898
104	104	891
105	105	886
106	105	881
107	106	875
108	106	868
109	106	863
110	107	858
111	107	853
112	108	847
113	108	843
114	109	839
115	109	835
116	109	829
117	110	824
118	110	819
119	111	815
120	111	811
121	111	804
122	112	800
123	112	795
124	113	791
125	113	786
126	113	780
127	113	775
128	114	772
129	114	768
130	115	765
131	115	762
132	116	758
133	116	754
134	117	750
135	117	747
136	117	743
137	118	740
138	118	735
139	118	730
140	119	728
141	119	723
142	120	720
143	120	718
144	121	715
145	121	711
146	121	707
147	122	703
148	122	700
149	122	696
150	123	694
151	123	691
152	124	688
153	124	685
154	125	682
155	125	679
156	125	676
157	126	673
158	126	670
159	127	668
160	127	664
161	127	661
162	128	659
163	128	656
164	129	653
165	129	650
166	129	647
167	130	644
168	131	645
169	131	642
170	132	640
171	132	637
172	133	636
173	133	633
174	133	631
175	134	629
176	134	626
177	135	624
178	135	622
179	136	620
180	136	617
181	136	615
182	137	612
183	137	611
184	138	609
185	138	607
186	139	605
187	139	603
188	140	601
189	140	599
190	140	596
191	141	594
192	141	592
193	142	589
194	142	588
195	142	585
196	143	584
197	143	582
198	144	579
199	144	577
200	145	576
201	145	574
202	145	572
203	146	571
204	146	569
205	147	567
206	147	565
207	147	563
208	148	562
209	148	560
210	149	559
211	150	558
212	150	556
213	151	554
214	151	552
215	151	551
216	152	549
217	152	547
218	152	545
219	153	543
220	153	542
221	154	540
222	154	539
223	155	537
224	155	535
225	156	535
226	156	533
227	157	531
228	157	530
229	158	529
230	158	527
231	158	526
232	159	524
233	159	522
234	160	521
235	160	520
236	161	518
237	161	516
238	161	514
239	161	512
240	162	510
241	162	509
242	163	508
243	163	506
244	163	505
245	164	503
246	164	502
247	165	500
248	165	498
249	165	497
250	166	495
251	166	494
252	166	492
253	167	491
254	167	490
255	168	488
256	169	489
257	169	487
258	170	486
259	170	485
260	170	483
261	171	483
262	171	481
263	172	480
264	172	478
265	172	477
266	173	476
267	173	474
268	174	473
269	174	471
270	174	470
271	175	469
272	175	468
273	176	466
274	176	465
275	176	464
276	177	462
277	177	461
278	178	460
279	178	458
280	178	457
281	179	456
282	179	455
283	180	454
284	180	453
